Name,Address,Latitude,Longitude,Email,Phone
Ålesund Golfklubb,Solnørvegen 34,62.48503986978123,6.727248430252075,post@aalesundgk.no,+47 902 05 500
Alsten Golfklubb,Breimo Gård,65.977539,12.56345,kenfindsen@yahoo.no,
Alta Golfklubb,Kvenvikmoen,69.9225156,23.091455999999994,post@altagolf.no,+47 977 64 229
Arendal & Omegn GK,Jacob Aalls Vei 53,58.62792638258448,8.848607607904114,post@arendalgk.no,+47 37 19 90 30
Asker Golfklubb,Høgåsveien 35,59.83149659999999,10.388436299999967,agk@askergolf.no,+47 66 90 03 40
Askim Golfpark,Trøgstadveien 67,59.59556419999999,11.173049699999979,klubben@askimgk.no,+47 928 42 511
Atlungstad Golfklubb,Sandvikaveien 222,60.75862689999999,11.08005849999995,manager@atlungstadgolf.com,+47 62 57 76 90
Aurskog Golfpark / Romerike Golfklubb,Finstad Gård,59.93716749999999,11.435466399999996,post@romerikegk.no,+47 95 408 50
Austrått Golfklubb,Lundahaugveien 63,63.70740529999999,9.729427699999974,post@austraattgolf.no,+47 911 03 189
Bærum Golfklubb,Hellerudveien 51,59.9608061,10.489797299999964,bmgk@bmgk.no,+47 67 87 67 00
Ballerud Golfklubb,Ballerud Allé 1,59.9068804,10.57962150000003,post@ballerud.no,+47 67 10 61 10
Bamble Golfklubb,Valleveien 696,58.9512539,9.594572400000061,post@bamblegolfklubb.no,+47 35 97 65 01
Bergen Golfklubb,Ervikveien 120,60.4475966,5.320532200000002,info@bgk.no,+47 55 19 91 80
Bjaavann Golfklubb,Østre Ålefjærvei 195,58.2468686,8.050957899999958,post@bjaavanngk.no,+47 38 11 84 11
Bjørnefjorden Golfklubb,Hatvikvegen 20,60.19089059999999,5.478811500000006,post@bjgk.no,+47 56 30 70 88
Bodø Golfklubb,Ilstad,67.27646635253875,14.73693557829597,bodogolfklubb@gmail.com,+47 902 06 270
Borregaard Golfklubb,Hagebyveien 52,59.29499440000001,11.131466600000067,post@borregaardgk.no,+47 69 12 15 00
Borre Golfklubb,Semb Hovedgård,59.39778549999999,10.454237400000011,klubben@borregb.no,+47 416 27 000
Byneset Golf,Hangerslettveien 1376,63.3545195,10.155100100000027,nina@bynesetgolf.no,+47 72 59 51 51
Drammen Golfklubb,Vollsbekk 40,59.670002,10.22050200000001,post@drammen.golf,+47 32 88 03 03
Drøbak Golfklubb,Belsjøveien 50,59.6757911,10.648320199999944,dgk@drobakgolf.no,+47 64 98 96 50
Egersund Golfklubb,Maurholsveien 51,58.49009969999999,5.913772300000005,jostein.jensen1956@gmail.com,+47 916 13 884
Eidskog Golfklubb,Nevjen,59.967818598815,12.222550263576522,post@eidskoggk.no,+47 62 83 79 52
Eiker Golfklubb,Kalkveien 1,59.737049,10.016730800000005,post@eikergolf.no,+47 32 87 77 72
Ekholtbruket Golfklubb,Vestre Ekholt vei 33,59.4082132,10.6825963,ekbrgolf@gmail.com,+47 415 48 995
Elverum Golfklubb,Starmoen,60.876884,11.66612699999996,post@elverumgolf.no,+47 62 41 35 88
Fana Golfklubb,Vestre Rå 82,60.2894343,5.310044100000027,fanagolf@fanagolf.no,+47 942 31 000
Fet Golfklubb,Løkenveien 4,59.9170697,11.177612599999975,postmaster@fetgk.no,+47 415 66 608
Florø Golfklubb,Brandsøy,61.6099088,5.12931709999998,post@florogolf.no,+47 994 43 520
Frosta Golfklubb,Vågen,63.5830648,10.803358600000024,post@frostagk.no,+47 901 08 746
Gamle Fredrikstad Golfklubb,Torsnesveien 16,59.201336,10.96664409999994,post@gfgolf.no,+47 958 55 500
